データ,分布,集計軸,値,人数,割合%
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,8,80,26.06
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,9,52,16.94
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,10,33,10.75
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,11,12,3.91
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,12,7,2.28
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,13,2,0.65
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,14,2,0.65
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,15,1,0.33
生成,総変化量サマリー,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,平均,307,7.964
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,2,2,0.16
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,3,5,0.4
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,4,22,1.75
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,5,52,4.13
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,6,121,9.61
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,7,249,19.78
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,8,271,21.53
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,9,258,20.49
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,10,164,13.03
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,11,65,5.16
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,12,31,2.46
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,13,13,1.03
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,14,5,0.4
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,15,1,0.08
生成,総変化量サマリー,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ- / 抑え-,平均,1259,8.187
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,2,2,0.21
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,3,2,0.21
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,4,14,1.47
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,5,34,3.56
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,6,101,10.58
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,7,183,19.16
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,8,212,22.2
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,9,195,20.42
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,10,119,12.46
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,11,51,5.34
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,12,26,2.72
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,13,14,1.47
生成,総変化量,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,14,2,0.21
生成,総変化量サマリー,カテゴリ=助っ人外国人用 / 先発◎ / 中継ぎ○ / 抑え-,平均,955,8.217
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,2,9,1.12
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,3,14,1.73
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,4,52,6.44
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,5,94,11.65
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,6,154,19.08
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,7,171,21.19
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,8,180,22.3
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,9,83,10.29
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,10,39,4.83
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,11,7,0.87
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,12,3,0.37
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,13,1,0.12
生成,総変化量サマリー,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え-,平均,807,6.892
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,1,1,0.25
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,2,3,0.76
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,3,7,1.77
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,4,29,7.32
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,5,40,10.1
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,6,63,15.91
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,7,93,23.48
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,8,90,22.73
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,9,50,12.63
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,10,18,4.55
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,11,1,0.25
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,12,1,0.25
生成,総変化量サマリー,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え○,平均,396,6.934
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,2,1,0.3
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,3,5,1.52
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,4,26,7.93
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,5,62,18.9
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,6,56,17.07
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,7,68,20.73
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,8,58,17.68
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,9,38,11.59
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,10,11,3.35
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,11,2,0.61
生成,総変化量,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,12,1,0.3
生成,総変化量サマリー,カテゴリ=架空球団用 / 先発- / 中継ぎ◎ / 抑え◎,平均,328,6.686
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,1,1,0.11
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,2,13,1.42
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,3,11,1.2
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,4,70,7.64
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,5,117,12.77
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,6,176,19.21
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,7,222,24.24
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,8,179,19.54
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,9,88,9.61
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,10,31,3.38
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,11,7,0.76
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,13,1,0.11
生成,総変化量サマリー,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え-,平均,916,6.724
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,3,2,2.0
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,4,11,11.0
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,5,15,15.0
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,6,13,13.0
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,7,19,19.0
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,8,25,25.0
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,9,11,11.0
生成,総変化量,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,10,4,4.0
生成,総変化量サマリー,カテゴリ=架空球団用 / 先発○ / 中継ぎ◎ / 抑え◎,平均,100,6.75
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,2,3,0.22
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,3,16,1.19
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,4,77,5.73
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,5,145,10.79
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,6,245,18.23
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,7,294,21.88
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,8,305,22.69
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,9,166,12.35
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,10,76,5.65
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,11,11,0.82
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,12,3,0.22
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,13,3,0.22
生成,総変化量サマリー,カテゴリ=架空球団用 / 先発◎ / 中継ぎ- / 抑え-,平均,1344,7.072
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,2,3,0.27
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,3,12,1.08
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,4,58,5.23
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,5,120,10.82
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,6,199,17.94
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,7,247,22.27
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,8,242,21.82
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,9,157,14.16
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,10,49,4.42
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,11,18,1.62
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,12,3,0.27
生成,総変化量,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,13,1,0.09
生成,総変化量サマリー,カテゴリ=架空球団用 / 先発◎ / 中継ぎ○ / 抑え-,平均,1109,7.108
